pi_name,station,depth_m,analysis,rep,sample_name,value,unit,mdl_ug.l,notes
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,TDP,B,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_TDP_B,5.99,ug.L,0.6,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,TDP,C,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_TDP_C,5.59,ug.L,0.6,
McGregor/Twiss,RD_Bay_of_Islands_Whitefish_Falls,0,TDP,A,McGregor/Twiss_RD_Bay_of_Islands_Whitefish_Falls_0_TDP_A,6.83,ug.L,0.6,
McGregor/Twiss,RD_Bay_of_Islands_Whitefish_Falls,0,TDP,B,McGregor/Twiss_RD_Bay_of_Islands_Whitefish_Falls_0_TDP_B,6.1,ug.L,0.6,
McGregor/Twiss,RD_Bay_of_Islands_Whitefish_Falls,0,TDP,C,McGregor/Twiss_RD_Bay_of_Islands_Whitefish_Falls_0_TDP_C,6.15,ug.L,0.6,
Zastepa,RW_Ridgeway_Abino_Bay,1,TDP,A,Zastepa_RW_Ridgeway_Abino_Bay_1_TDP_A,34.05,ug.L,0.6,
Zastepa,RW_Ridgeway_Abino_Bay,1,TDP,B,Zastepa_RW_Ridgeway_Abino_Bay_1_TDP_B,33.54,ug.L,0.6,
Zastepa,RW_Ridgeway_Abino_Bay,1,TDP,C,Zastepa_RW_Ridgeway_Abino_Bay_1_TDP_C,33.49,ug.L,0.6,
Karpovich,Saginaw_River,0.3,TDP,A,Karpovich_Saginaw_River_0.3_TDP_A,13.82,ug.L,0.6,
Karpovich,Saginaw_River,0.3,TDP,B,Karpovich_Saginaw_River_0.3_TDP_B,18.83,ug.L,0.6,
Karpovich,Saginaw_River,0.3,TDP,C,Karpovich_Saginaw_River_0.3_TDP_C,18.12,ug.L,0.6,
Doubek,Saint_Martin_Bay_SM-LH,1,TDP,A,Doubek_Saint_Martin_Bay_SM-LH_1_TDP_A,6.52,ug.L,0.6,
Doubek,Saint_Martin_Bay_SM-LH,1,TDP,B,Doubek_Saint_Martin_Bay_SM-LH_1_TDP_B,5.32,ug.L,0.6,
Doubek,Saint_Martin_Bay_SM-LH,1,TDP,C,Doubek_Saint_Martin_Bay_SM-LH_1_TDP_C,5.8,ug.L,0.6,
Doubek,Saint_Martin_Bay_SM-LH,8.5,TDP,A,Doubek_Saint_Martin_Bay_SM-LH_8.5_TDP_A,6.31,ug.L,0.6,
Doubek,Saint_Martin_Bay_SM-LH,8.5,TDP,B,Doubek_Saint_Martin_Bay_SM-LH_8.5_TDP_B,6.03,ug.L,0.6,
