pi_name,station,depth_m,analysis,sample_name,taxon,count_cell_ml-1,notes
Bramburger,Ontario_-_St._Catharines,1,ciliated_protist_abundance,Bramburger_Ontario_-_St._Catharines_1_ciliated_protist_abundance,Urotricha_Sp2_cell_mL-1,0,
Bramburger,Ontario_-_St._Catharines,1,ciliated_protist_abundance,Bramburger_Ontario_-_St._Catharines_1_ciliated_protist_abundance,Vorticella_campanula_cell_mL-1,0,
Bramburger,Ontario_-_St._Catharines,1,ciliated_protist_abundance,Bramburger_Ontario_-_St._Catharines_1_ciliated_protist_abundance,TOTAL_cell_mL-1,0.05,
McGregor_Twiss,LC_Little_Current,0,ciliated_protist_abundance,McGregor_Twiss_LC_Little_Current_0_ciliated_protist_abundance,Cyclidium_spp_cell_mL-1,0,
McGregor_Twiss,LC_Little_Current,0,ciliated_protist_abundance,McGregor_Twiss_LC_Little_Current_0_ciliated_protist_abundance,Gymnodinium_helveticum_cell_mL-1,0,
McGregor_Twiss,LC_Little_Current,0,ciliated_protist_abundance,McGregor_Twiss_LC_Little_Current_0_ciliated_protist_abundance,Gymnodinium_Sp1_cell_mL-1,0,
McGregor_Twiss,LC_Little_Current,0,ciliated_protist_abundance,McGregor_Twiss_LC_Little_Current_0_ciliated_protist_abundance,Gymnodinium_varians_cell_mL-1,0.01,
McGregor_Twiss,LC_Little_Current,0,ciliated_protist_abundance,McGregor_Twiss_LC_Little_Current_0_ciliated_protist_abundance,Halteria_Sp1_cell_mL-1,0,
McGregor_Twiss,LC_Little_Current,0,ciliated_protist_abundance,McGregor_Twiss_LC_Little_Current_0_ciliated_protist_abundance,Mallomonas_pseudocoronata_cell_mL-1,0,
McGregor_Twiss,LC_Little_Current,0,ciliated_protist_abundance,McGregor_Twiss_LC_Little_Current_0_ciliated_protist_abundance,Mesodinium_Sp2_cell_mL-1,0,
McGregor_Twiss,LC_Little_Current,0,ciliated_protist_abundance,McGregor_Twiss_LC_Little_Current_0_ciliated_protist_abundance,Monodinium_Sp1_cell_mL-1,0,
McGregor_Twiss,LC_Little_Current,0,ciliated_protist_abundance,McGregor_Twiss_LC_Little_Current_0_ciliated_protist_abundance,Pelagohalteria_Sp1_cell_mL-1,0,
McGregor_Twiss,LC_Little_Current,0,ciliated_protist_abundance,McGregor_Twiss_LC_Little_Current_0_ciliated_protist_abundance,Peridinium_inconspicum_cell_mL-1,0,
McGregor_Twiss,LC_Little_Current,0,ciliated_protist_abundance,McGregor_Twiss_LC_Little_Current_0_ciliated_protist_abundance,Strombidum_Sp1_cell_mL-1,0,
McGregor_Twiss,LC_Little_Current,0,ciliated_protist_abundance,McGregor_Twiss_LC_Little_Current_0_ciliated_protist_abundance,Strobilidium_Sp1_cell_mL-1,0,
McGregor_Twiss,LC_Little_Current,0,ciliated_protist_abundance,McGregor_Twiss_LC_Little_Current_0_ciliated_protist_abundance,Titinnidium_spp_cell_mL-1,0,
McGregor_Twiss,LC_Little_Current,0,ciliated_protist_abundance,McGregor_Twiss_LC_Little_Current_0_ciliated_protist_abundance,Urotricha_farcta_cell_mL-1,0,
McGregor_Twiss,LC_Little_Current,0,ciliated_protist_abundance,McGregor_Twiss_LC_Little_Current_0_ciliated_protist_abundance,Urotricha_Sp2_cell_mL-1,0,
McGregor_Twiss,LC_Little_Current,0,ciliated_protist_abundance,McGregor_Twiss_LC_Little_Current_0_ciliated_protist_abundance,Vorticella_campanula_cell_mL-1,0,
McGregor_Twiss,LC_Little_Current,0,ciliated_protist_abundance,McGregor_Twiss_LC_Little_Current_0_ciliated_protist_abundance,TOTAL_cell_mL-1,0.01,
Eveleth,Lorain,0.2,ciliated_protist_abundance,Eveleth_Lorain_0.2_ciliated_protist_abundance,Cyclidium_spp_cell_mL-1,0,
Eveleth,Lorain,0.2,ciliated_protist_abundance,Eveleth_Lorain_0.2_ciliated_protist_abundance,Gymnodinium_helveticum_cell_mL-1,0,
Eveleth,Lorain,0.2,ciliated_protist_abundance,Eveleth_Lorain_0.2_ciliated_protist_abundance,Gymnodinium_Sp1_cell_mL-1,0,
Eveleth,Lorain,0.2,ciliated_protist_abundance,Eveleth_Lorain_0.2_ciliated_protist_abundance,Gymnodinium_varians_cell_mL-1,0.01,
Eveleth,Lorain,0.2,ciliated_protist_abundance,Eveleth_Lorain_0.2_ciliated_protist_abundance,Halteria_Sp1_cell_mL-1,0,
Eveleth,Lorain,0.2,ciliated_protist_abundance,Eveleth_Lorain_0.2_ciliated_protist_abundance,Mallomonas_pseudocoronata_cell_mL-1,0,
Eveleth,Lorain,0.2,ciliated_protist_abundance,Eveleth_Lorain_0.2_ciliated_protist_abundance,Mesodinium_Sp2_cell_mL-1,0,
Eveleth,Lorain,0.2,ciliated_protist_abundance,Eveleth_Lorain_0.2_ciliated_protist_abundance,Monodinium_Sp1_cell_mL-1,0,
Eveleth,Lorain,0.2,ciliated_protist_abundance,Eveleth_Lorain_0.2_ciliated_protist_abundance,Pelagohalteria_Sp1_cell_mL-1,0,
Eveleth,Lorain,0.2,ciliated_protist_abundance,Eveleth_Lorain_0.2_ciliated_protist_abundance,Peridinium_inconspicum_cell_mL-1,0.01,
Eveleth,Lorain,0.2,ciliated_protist_abundance,Eveleth_Lorain_0.2_ciliated_protist_abundance,Strombidum_Sp1_cell_mL-1,0,
