pi_name,station,depth_m,analysis,rep,sample_name,value,unit,notes
Mcgregor,LC_Little_Current,0,micro_fc,3,Mcgregor_LC_Little_Current_0_micro_fc_3,1.04E+06,cells_mL-1,
McGregor,RD_Bay_of_Islands_Whitefish_Falls,0,micro_fc,1,McGregor_RD_Bay_of_Islands_Whitefish_Falls_0_micro_fc_1,1.87E+06,cells_mL-1,
Mcgregor,RD_Bay_of_Islands_Whitefish_Falls,0,micro_fc,2,Mcgregor_RD_Bay_of_Islands_Whitefish_Falls_0_micro_fc_2,1.62E+06,cells_mL-1,
Mcgregor,RD_Bay_of_Islands_Whitefish_Falls,0,micro_fc,3,Mcgregor_RD_Bay_of_Islands_Whitefish_Falls_0_micro_fc_3,6.19E+05,cells_mL-1,
McKay,EC_1 ,0.5,micro_fc,1,McKay_EC_1 _0.5_micro_fc_1,1.56E+06,cells_mL-1,
McKay,EC_1 ,0.5,micro_fc,2,McKay_EC_1 _0.5_micro_fc_2,1.44E+06,cells_mL-1,
McKay,EC_1 ,0.5,micro_fc,3,McKay_EC_1 _0.5_micro_fc_3,1.58E+06,cells_mL-1,
McKay,EC_1 ,9,micro_fc,1,McKay_EC_1 _9_micro_fc_1,1.26E+06,cells_mL-1,
McKay,EC_1 ,9,micro_fc,2,McKay_EC_1 _9_micro_fc_2,1.18E+06,cells_mL-1,
McKay,EC_1 ,9,micro_fc,3,McKay_EC_1 _9_micro_fc_3,1.14E+06,cells_mL-1,
McKay,EC_12,0.5,micro_fc,1,McKay_EC_12_0.5_micro_fc_1,1.39E+06,cells_mL-1,
McKay,EC_12,0.5,micro_fc,2,McKay_EC_12_0.5_micro_fc_2,1.16E+06,cells_mL-1,
McKay,EC_12,0.5,micro_fc,3,McKay_EC_12_0.5_micro_fc_3,1.18E+06,cells_mL-1,
McKay,EC_1326,0.5,micro_fc,1,McKay_EC_1326_0.5_micro_fc_1,2.04E+06,cells_mL-1,
McKay,EC_1326,0.5,micro_fc,2,McKay_EC_1326_0.5_micro_fc_2,1.85E+06,cells_mL-1,
McKay,EC_1326,0.5,micro_fc,3,McKay_EC_1326_0.5_micro_fc_3,1.70E+06,cells_mL-1,
McKay,EC_3,0.5,micro_fc,1,McKay_EC_3_0.5_micro_fc_1,1.44E+06,cells_mL-1,
McKay,EC_3,0.5,micro_fc,2,McKay_EC_3_0.5_micro_fc_2,1.26E+06,cells_mL-1,
McKay,EC_3,0.5,micro_fc,3,McKay_EC_3_0.5_micro_fc_3,1.15E+06,cells_mL-1,
McKay,EC_341,0.5,micro_fc,1,McKay_EC_341_0.5_micro_fc_1,2.86E+06,cells_mL-1,
McKay,EC_341,0.5,micro_fc,2,McKay_EC_341_0.5_micro_fc_2,2.72E+06,cells_mL-1,
McKay,EC_341,0.5,micro_fc,3,McKay_EC_341_0.5_micro_fc_3,2.80E+06,cells_mL-1,
McKay,EC_84,0.5,micro_fc,1,McKay_EC_84_0.5_micro_fc_1,2.53E+06,cells_mL-1,low confidence
McKay,EC_84,0.5,micro_fc,2,McKay_EC_84_0.5_micro_fc_2,2.88E+06,cells_mL-1,low confidence
McKay,EC_84,0.5,micro_fc,3,McKay_EC_84_0.5_micro_fc_3,2.42E+06,cells_mL-1,low confidence
McKay,EC_9,0.5,micro_fc,1,McKay_EC_9_0.5_micro_fc_1,1.19E+06,cells_mL-1,
McKay,EC_9,0.5,micro_fc,2,McKay_EC_9_0.5_micro_fc_2,1.18E+06,cells_mL-1,
McKay,EC_9,0.5,micro_fc,3,McKay_EC_9_0.5_micro_fc_3,1.15E+06,cells_mL-1,
McKay,ER_78M,0.5,micro_fc,1,McKay_ER_78M_0.5_micro_fc_1,3.19E+06,cells_mL-1,
McKay,ER_78M,0.5,micro_fc,2,McKay_ER_78M_0.5_micro_fc_2,3.44E+06,cells_mL-1,
McKay,ER_78M,0.5,micro_fc,3,McKay_ER_78M_0.5_micro_fc_3,3.37E+06,cells_mL-1,
