gene_id,MFF.CY.1,MFF.CY.2,MFF.CY.3,MFF.DY.1,MFF.DY.2,MFF.DY.3,subcellular_locations
inpp5d,1.6094379124341003,1.6094379124341003,0,2.1972245773362196,1.6094379124341003,0,cytoskeleton
inpp5d,1.6094379124341003,1.6094379124341003,0,2.1972245773362196,1.6094379124341003,0,Membrane
inpp5d,1.6094379124341003,1.6094379124341003,0,2.1972245773362196,1.6094379124341003,0,Membrane raft
cep63,7.693481640835175,7.920446505142607,7.675081857716334,7.669495251007694,7.419380582918692,7.4342573821331355,Cytoplasm
cep63,7.693481640835175,7.920446505142607,7.675081857716334,7.669495251007694,7.419380582918692,7.4342573821331355,cytoskeleton
cep63,7.693481640835175,7.920446505142607,7.675081857716334,7.669495251007694,7.419380582918692,7.4342573821331355,microtubule organizing center
cep63,7.693481640835175,7.920446505142607,7.675081857716334,7.669495251007694,7.419380582918692,7.4342573821331355,centrosome
cep63,7.693481640835175,7.920446505142607,7.675081857716334,7.669495251007694,7.419380582918692,7.4342573821331355,Cytoplasm
cep63,7.693481640835175,7.920446505142607,7.675081857716334,7.669495251007694,7.419380582918692,7.4342573821331355,cytoskeleton
cep63,7.693481640835175,7.920446505142607,7.675081857716334,7.669495251007694,7.419380582918692,7.4342573821331355,microtubule organizing center
cep63,7.693481640835175,7.920446505142607,7.675081857716334,7.669495251007694,7.419380582918692,7.4342573821331355,centrosome
cep63,7.693481640835175,7.920446505142607,7.675081857716334,7.669495251007694,7.419380582918692,7.4342573821331355,centriole
ryk,8.301521654940728,8.408493774492896,8.169336395928386,8.368693183097793,8.069342366811636,8.193123721512068,Cytoplasm
ryk,8.301521654940728,8.408493774492896,8.169336395928386,8.368693183097793,8.069342366811636,8.193123721512068,Membrane
ryk,8.301521654940728,8.408493774492896,8.169336395928386,8.368693183097793,8.069342366811636,8.193123721512068,Nucleus
amotl2a,10.600751248607914,10.867005322772965,10.679274066616875,9.971379818579047,9.680593969977126,9.803501457660202,Cell junction
amotl2a,10.600751248607914,10.867005322772965,10.679274066616875,9.971379818579047,9.680593969977126,9.803501457660202,Cell projection
amotl2a,10.600751248607914,10.867005322772965,10.679274066616875,9.971379818579047,9.680593969977126,9.803501457660202,podosome
amotl2a,10.600751248607914,10.867005322772965,10.679274066616875,9.971379818579047,9.680593969977126,9.803501457660202,Cytoplasm
amotl2a,10.600751248607914,10.867005322772965,10.679274066616875,9.971379818579047,9.680593969977126,9.803501457660202,Recycling endosome
sned1,8.546751993657782,8.785386587284156,8.644178203170727,7.999007213243955,7.75190533307861,7.7886260656250315,Secreted
sned1,8.546751993657782,8.785386587284156,8.644178203170727,7.999007213243955,7.75190533307861,7.7886260656250315,extracellular space
sned1,8.546751993657782,8.785386587284156,8.644178203170727,7.999007213243955,7.75190533307861,7.7886260656250315,extracellular matrix
scly,7.2167094867094574,7.385851078125209,7.121252453244542,7.331714969726466,7.083387847625295,7.13966033596492,Cytoplasm
scly,7.2167094867094574,7.385851078125209,7.121252453244542,7.331714969726466,7.083387847625295,7.13966033596492,cytosol
boka,6.459904454377535,6.744059186311348,6.495265555937008,6.261491684321042,5.58724865840025,6.113682179832232,Membrane
atg4b,7.813591552952433,7.994632311431825,7.81156848934518,8.106212902619962,7.822845290279774,7.99699040583765,Cytoplasm
atg4b,7.813591552952433,7.994632311431825,7.81156848934518,8.106212902619962,7.822845290279774,7.99699040583765,Cytoplasm
atg4b,7.813591552952433,7.994632311431825,7.81156848934518,8.106212902619962,7.822845290279774,7.99699040583765,cytosol
atg4b,7.813591552952433,7.994632311431825,7.81156848934518,8.106212902619962,7.822845290279774,7.99699040583765,Cytoplasmic vesicle
atg4b,7.813591552952433,7.994632311431825,7.81156848934518,8.106212902619962,7.822845290279774,7.99699040583765,autophagosome
atg4b,7.813591552952433,7.994632311431825,7.81156848934518,8.106212902619962,7.822845290279774,7.99699040583765,Endoplasmic reticulum
atg4b,7.813591552952433,7.994632311431825,7.81156848934518,8.106212902619962,7.822845290279774,7.99699040583765,Mitochondrion
btbd8,7.333023014386481,7.660585461703256,7.413970290190444,7.805882040228621,7.43307534889858,7.537962659768208,Cell projection
btbd8,7.333023014386481,7.660585461703256,7.413970290190444,7.805882040228621,7.43307534889858,7.537962659768208,axon
btbd8,7.333023014386481,7.660585461703256,7.413970290190444,7.805882040228621,7.43307534889858,7.537962659768208,Cytoplasmic vesicle
btbd8,7.333023014386481,7.660585461703256,7.413970290190444,7.805882040228621,7.43307534889858,7.537962659768208,clathrin-coated vesicle
btbd8,7.333023014386481,7.660585461703256,7.413970290190444,7.805882040228621,7.43307534889858,7.537962659768208,Nucleus
btbd8,7.333023014386481,7.660585461703256,7.413970290190444,7.805882040228621,7.43307534889858,7.537962659768208,Presynapse
brdt,5.484796933490655,5.8522024797744745,5.627621113690637,5.41610040220442,5.726847747587197,5.929589143389895,Nucleus
lrrc8c,9.49942146534167,9.684522758043336,9.45657525451379,9.795178249029277,9.59994706414989,9.71250862865099,Cell membrane
lrrc8c,9.49942146534167,9.684522758043336,9.45657525451379,9.795178249029277,9.59994706414989,9.71250862865099,Endoplasmic reticulum membrane
tgfbr3,9.705828982731935,9.94467747936099,9.708323887728875,10.103280590242088,9.787122261404862,9.932317934204004,Cell membrane
tgfbr3,9.705828982731935,9.94467747936099,9.708323887728875,10.103280590242088,9.787122261404862,9.932317934204004,Secreted
tgfbr3,9.705828982731935,9.94467747936099,9.708323887728875,10.103280590242088,9.787122261404862,9.932317934204004,Secreted
tgfbr3,9.705828982731935,9.94467747936099,9.708323887728875,10.103280590242088,9.787122261404862,9.932317934204004,extracellular space
tgfbr3,9.705828982731935,9.94467747936099,9.708323887728875,10.103280590242088,9.787122261404862,9.932317934204004,extracellular matrix
med8,7.841099765422119,7.969357742016346,7.884952945759814,7.908387159290043,7.699842407396986,7.798523053625206,Nucleus
aatf,6.597145701886651,6.823286122355687,6.461468176353717,6.742880635791903,6.577861357721047,6.70196036600254,Nucleus
aatf,6.597145701886651,6.823286122355687,6.461468176353717,6.742880635791903,6.577861357721047,6.70196036600254,nucleolus
