GSM8333927 GSM8333928 GSM8333929 GSM8333930 GSM8333931 GSM8333932 GSM8333933 GSM8333934 GSM8333935 GSM8333936 GSM8333937 GSM8333938
 7.315822  7.352883  7.410904  7.264358  7.489775  7.463280  7.578619  7.625643  7.179404  6.870767  7.031027  6.828550
 8.080863  8.088185  7.880903  8.052553  7.618144  7.664348  7.767670  7.696362  7.512014  7.381397  7.332020  7.215885
12.194664 12.333333 12.176235 12.099002 12.349002 12.449694 12.236684 12.348092 12.175988 12.392729 12.417521 12.374109
 7.175132  7.384824  7.225104  7.367795  7.178436  7.373719  7.160328  7.196363  7.702770  7.871708  7.738303  7.830449
11.119530 10.998290 10.749967 10.647862 10.501020 10.551860 10.211928 10.427936 10.725714 11.161651 11.237092 11.087291
 9.026386  8.896818  8.782696  8.799746  8.482731  8.416696  8.507370  8.518974  8.542404  8.512862  8.513664  8.706512
 5.373769  5.376721  5.474701  5.347885  5.271836  5.319418  5.383449  5.291374  5.922060  6.144152  6.027747  5.928132
 9.160287  9.177823  9.382260  9.003868  9.643847  9.634722  9.782412  9.753662 10.115272 10.298482 10.142948 10.295141
 7.362575  7.470524  7.330248  7.365764  7.615576  7.526499  7.649079  7.603646  7.619621  7.762836  7.691850  7.637351
11.106055 10.961447 11.219638 11.277761 11.114702 10.903173 11.300578 11.137186 11.229853 11.120380 11.051075 11.163064
12.821390 12.820580 12.603972 12.367583 13.245935 13.170211 13.190338 13.153273 13.007872 13.264679 13.234286 13.201261
 4.905937  4.879535  4.811375  4.758537  4.921927  4.934113  4.896659  5.034542  4.930436  5.037022  5.034697  5.116157
12.141233 11.781639 12.025459 11.705326 12.008131 12.222033 12.125267 12.144432 12.149897 12.154305 12.297651 12.480900
 7.404860  7.346826  7.541606  7.603438  7.601871  7.715708  7.742710  7.685171  7.334945  7.304980  7.309501  7.135023
 6.636795  6.835936  6.631348  6.692780  7.375685  7.195488  7.357106  7.283390  7.093982  6.795381  6.990947  7.075382
 4.940292  4.827697  4.777447  4.634890  4.878495  4.909894  4.934457  4.922720  4.861390  5.022766  5.018195  4.995961
 6.620087  6.662243  6.747512  6.698000  7.068233  7.053375  6.964717  7.042016  7.283390  7.477010  7.458674  7.439409
 5.017630  4.938953  4.959414  4.930698  5.013638  5.001690  5.098880  5.055697  4.964728  4.912374  4.926459  5.028860
17.818227 17.783492 17.670737 17.826689 17.661160 17.691909 17.732995 17.691909 17.549326 17.629351 17.564635 17.593045
11.572084 11.684471 11.336606 11.592871 11.483538 11.507026 11.416331 11.622248 10.988649 11.091237 10.983818 10.966859
 9.729641  9.642825  9.150729  9.449904  9.338530  9.498623  9.204906  9.463506  9.421081  9.689181  9.878069  9.761467
 5.223652  5.116833  4.959582  5.045819  5.018260  4.995828  4.936211  5.352827  5.301927  4.928335  4.953774  4.995828
 8.855836  8.559097  8.364085  8.399106  8.251820  8.221465  8.113600  8.098154  8.280578  8.175778  8.228854  8.140681
 5.437026  5.295464  5.398441  5.472132  5.581415  5.571220  5.594349  5.634255  5.538515  5.696610  5.525692  5.427251
 8.740312  8.537183  8.708837  8.624610  8.602665  8.521401  8.939308  8.858082  9.130118  9.165617  9.371575  9.534245
12.508051 12.678859 12.244616 12.322616 12.291209 12.618044 12.312469 12.483289 13.161433 13.396614 13.242617 13.180285
 4.798242  4.874390  4.725463  4.711930  4.713886  4.895118  4.756189  4.773840  4.673787  4.718454  4.653038  4.820157
 4.843853  4.897238  4.991469  4.927645  4.859868  4.851038  4.873564  4.855243  5.022185  5.207916  5.048691  4.915688
 9.380982  9.713872  9.314279  9.502151  9.340201  9.503559  9.342101  9.503559  9.056274  9.202102  9.111003  8.788417
 9.456612  9.632923  9.495242  9.866356  9.407933  9.565467  9.535352  9.703585  9.665054  9.934301  9.756044  9.780834
 6.006356  5.723129  5.894598  5.888522  5.795804  5.834768  6.293688  5.910675  5.776194  5.583437  5.789840  5.907674
10.360974 10.639691 10.471158 10.375527 10.562850 10.837177 10.798633 10.924048 10.365857 10.513225 10.429136 10.370405
12.923287 12.933635 12.985144 13.029041 12.878504 12.839243 13.008164 13.056093 12.727201 12.788687 12.758074 12.719449
 5.455029  6.001673  5.519351  5.927069  5.667446  5.704806  5.686246  5.599643  5.604593  5.751301  5.982787  5.687413
 7.100129  7.195078  7.183959  7.269432  7.112345  7.380924  7.050203  7.166072  8.293143  8.682304  8.195943  8.460419
 8.856009  8.723619  8.844126  8.908467  8.803816  8.722363  8.810081  8.699470  8.645925  8.500851  8.605104  8.689376
