gene_id,MFF-CY-1,MFF-CY-2,MFF-CY-3,MFF-DY-1,MFF-DY-2,MFF-DY-3,subcellular_locations,source_organism
MRP-mrpl16|mrpl16,1874,2027,1920,2314,1732,2231,,not_found
rasa3|rasa3,570,730,529,931,634,682,Cell membrane,9606
tpp2|tpp2,9801,12581,10018,13638,10429,11371,"Cytoplasm, Nucleus",9606
lncRNA-LOC122878151|LOC122878151,8,11,16,22,8,10,,not_found
gpc5a|gpc5a,11936,14582,12234,14825,11288,12160,,not_found
gpc6a|gpc6a,1520,1819,1607,2517,1704,1880,,not_found
lncRNA-LOC122875032|LOC122875032,0,0,0,0,0,0,,not_found
arl6|arl6,736,1041,971,1128,901,1041,"Cell projection, cilium membrane, Cytoplasm, cytoskeleton, cilium axoneme, Cytoplasm, cytoskeleton, cilium basal body",7955
nsun3|nsun3,307,515,365,491,418,454,Mitochondrion matrix,7955
lmo7b|lmo7b,135,126,132,105,61,88,,not_found
lncRNA-LOC122875080|LOC122875080,0,0,0,0,0,0,,not_found
LOC122878590|LOC122878590,36701,42269,35718,38396,30835,35194,,not_found
cdh16|cdh16,68,86,82,190,122,124,Cell membrane,9606
lncRNA-LOC122880725|LOC122880725,22,11,9,35,4,26,,not_found
nae1|nae1,1307,1405,1141,1557,1137,1419,Cell membrane,9606
lncRNA-LOC122880513|LOC122880513,18,8,3,17,14,25,,not_found
LOC122880502|LOC122880502,6414,7260,6046,8585,6455,7550,,not_found
rrad|rrad,4572,5590,4793,13877,11694,13810,Cell membrane,9606
si:dkey-56m19.5|si:dkey-56m19.5,6534,7695,6708,6675,5343,5971,,not_found
dync1li2|dync1li2,12039,15416,11987,18421,15824,16644,"Cytoplasm, cytoskeleton",9606
cmtm4|cmtm4,2790,3377,2761,4329,3093,3555,Membrane,9606
